question,answer,explanation
Can you help me?,Bisa bantu aku?,"""Can you help me?"" digunakan saat kamu membutuhkan bantuan. Artinya: ""Bisa bantu aku?"""
I need help with...,Aku butuh bantuan dengan...,"""I need help with..."" digunakan untuk menyatakan bahwa kamu memerlukan bantuan dalam hal tertentu. Artinya: ""Aku butuh bantuan dengan..."""
Where is the...?,Di mana...?,"""Where is the...?"" digunakan untuk menanyakan lokasi suatu tempat atau benda. Artinya: ""Di mana...?"""
How do I get to...?,Bagaimana cara ke...?,"""How do I get to...?"" digunakan untuk menanyakan arah menuju suatu tempat. Artinya: ""Bagaimana cara ke...?"""
Can you show me how to...?,Bisa tunjukkan aku cara...?,"""Can you show me how to...?"" digunakan saat meminta seseorang untuk menunjukkan cara melakukan sesuatu. Artinya: ""Bisa tunjukkan aku cara...?"""
Turn left.,Belok kiri.,"""Turn left."" digunakan untuk memberikan instruksi belok ke kiri. Artinya: ""Belok kiri."""
Turn right.,Belok kanan.,"""Turn right."" digunakan untuk memberikan instruksi belok ke kanan. Artinya: ""Belok kanan."""
Go straight.,Jalan terus.,"""Go straight."" digunakan untuk memberikan instruksi berjalan lurus. Artinya: ""Jalan terus."""
Itâ€™s near the...,Itu dekat dengan...,"""Itâ€™s near the..."" digunakan untuk menyatakan bahwa sesuatu berada di dekat lokasi tertentu. Artinya: ""Itu dekat dengan..."""
Opposite the...,Di seberang...,"""Opposite the..."" digunakan untuk menyatakan bahwa sesuatu berada di seberang lokasi tertentu. Artinya: ""Di seberang..."""
What time is it?,Jam berapa sekarang?,"""What time is it?"" digunakan untuk menanyakan waktu saat ini. Artinya: ""Jam berapa sekarang?"""
It is ... am.,Sekarang jam ... pagi.,"""It is ... am."" digunakan untuk menyatakan waktu di pagi hari. Artinya: ""Sekarang jam ... pagi."""
It is ... pm,Sekarang jam ... sore/malam.,"""It is ... pm."" digunakan untuk menyatakan waktu di siang atau malam hari. Artinya: ""Sekarang jam ... sore/malam."""
Tonight,Malam ini,"""Tonight"" digunakan untuk merujuk pada malam ini. Artinya: ""Malam ini."""
Minute,Menit,"""Minute"" digunakan untuk menyatakan satuan waktu menit. Artinya: ""Menit."""
Hour,Jam,"""Hour"" digunakan untuk menyatakan satuan waktu jam. Artinya: ""Jam."""
Monday,Senin,"""Monday"" artinya ""Senin"""
Tuesday,Selasa,"""Tuesday"" artinya ""Selasa"""
Wednesday,Rabu,"""Wednesday"" artinya ""Rabu"""
Thursday,Kamis,"""Thursday"" artinya ""Kamis"""
Friday,Jumat,"""Friday"" artinya ""Jumat"""
Saturday,Sabtu,"""Saturday"" artinya ""Sabtu"""
Sunday,Minggu,"""Sunday"" artinya ""Minggu"""
How much is this?,Berapa harga ini?,"""How much is this?"" digunakan untuk menanyakan harga suatu barang. Artinya: ""Berapa harga ini?"""
I would like to buy...,Aku ingin membeli...,"""I would like to buy..."" digunakan saat ingin membeli sesuatu. Artinya: ""Aku ingin membeli..."""
Do you have...?,Apakah kamu punya...?,"""Do you have...?"" digunakan untuk menanyakan ketersediaan barang atau jasa. Artinya: ""Apakah kamu punya...?"""
Do you have change?,Apakah kamu punya uang kembalian?,"""Do you have change?"" digunakan untuk menanyakan apakah seseorang memiliki uang kembalian. Artinya: ""Apakah kamu punya uang kembalian?"""
Expensive,Mahal,"""Expensive"" artinya ""Mahal"". Digunakan untuk mendeskripsikan sesuatu yang harganya tinggi, baik itu barang, jasa, pengalaman, atau apa pun yang membutuhkan biaya besar."
